"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that Search API will throw error if NHS Number is invalid","2210","Verify that Search API will throw error if NHS Number is invalid","features.APITests.steps","Mon Mar 09 19:11:53 UTC 2026","passed","Mon Mar 09 19:11:56 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that Search API returns immunization events when searching by target-disease (GET)","2832","Verify that Search API returns immunization events when searching by target-disease (GET)","features.APITests.steps","Mon Mar 09 19:13:19 UTC 2026","passed","Mon Mar 09 19:13:22 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/update.feature: Flu event is created and updated twice","5128","Flu event is created and updated twice","features.APITests.steps","Mon Mar 09 19:14:07 UTC 2026","passed","Mon Mar 09 19:14:12 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that Search API will throw error if target-disease is used together with -immunization.target","2661","Verify that Search API will throw error if target-disease is used together with -immunization.target","features.APITests.steps","Mon Mar 09 19:13:27 UTC 2026","passed","Mon Mar 09 19:13:30 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/update.feature: Verify that the Update API will be successful with invalid but Mod11 compliant NHS Number","3907","Verify that the Update API will be successful with invalid but Mod11 compliant NHS Number","features.APITests.steps","Mon Mar 09 19:14:17 UTC 2026","passed","Mon Mar 09 19:14:21 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that the POST method of Search API will be successful with all the valid parameters","2889","Verify that the POST method of Search API will be successful with all the valid parameters","features.APITests.steps","Mon Mar 09 19:11:28 UTC 2026","passed","Mon Mar 09 19:11:31 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API request with minimal dataset for different vaccine types","3560","Verify that the POST Create API request with minimal dataset for different vaccine types","features.APITests.steps","Mon Mar 09 19:08:05 UTC 2026","passed","Mon Mar 09 19:08:08 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API request with minimal dataset for different vaccine types","3522","Verify that the POST Create API request with minimal dataset for different vaccine types","features.APITests.steps","Mon Mar 09 19:07:36 UTC 2026","passed","Mon Mar 09 19:07:40 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient surname is invalid","2023","Verify that the POST Create API will fail if patient surname is invalid","features.APITests.steps","Mon Mar 09 19:09:43 UTC 2026","passed","Mon Mar 09 19:09:45 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient's data of birth has future or invalid formatted date","2062","Verify that the POST Create API will fail if patient's data of birth has future or invalid formatted date","features.APITests.steps","Mon Mar 09 19:09:16 UTC 2026","passed","Mon Mar 09 19:09:18 UTC 2026","","Create the immunization event for a patient","",""
